"id"	"biaoti"
"57"	"涨的不如大盘，跌的比大盘多好几倍。。。。"
"58"	"此股有赚钱的朋友？我听说是国之重器，龙头企业，但越"
"59"	" 立帖求解：立帖求解~请问万能的股吧~有请能给解释一下"
"60"	"好恶心的股票，人家跌你抢头，别人升你装死，搞来搞去"
"61"	" 再次见证，100%胜率！（不信的可以翻帖子）老夫在帖子"
"62"	"卖出吧你们都，别拿了，随便买一下隔壁的tcl不香吗？"
"63"	"京东方的市净率才给1.8。说明市场觉得京东方的产品没"
"64"	"买京东方的理由有三。一，打新必买，就买京东方。二，"
"65"	"十多年了，国之重器京东方股价多少才合理"
"66"	"华为超越三星！首次夺得全球智能手机出货量冠军"
"67"	"//@财经牛股1098 :正如我分析的方向前进，在这祝贺今"
"68"	" 是A股中科技龙头企业50强的集合。"
"69"	"京东方要慢慢等。还是可以的。要来的快还。还是君正集"
"70"	"君正集团。股友，你可以投。"
"71"	" 这帮垃圾进进出出的是干啥啊！"
"72"	"有没有大佬为我解答：京东方这只股票长期来看前景怎么"
"73"	"乌云盖顶吗，这日了。"
"74"	"5.3集合，探讨何时回本"
"75"	"二B"
"76"	"昨天涨的，今天跌回去了，真厉害！"
"77"	"今天还能回4.6吗感觉费劲呀"
"78"	"大盘大涨你不跟涨涨"
"79"	"大盘涨2%你涨1.9%大盘跌0.1%你跌2%厉害啊"
"80"	"大盘昨天大阳今天小阴对他来说是一样的[好困惑]"
"81"	"昨天卖飞了今天买在山顶真曰了狗，不按套路出牌[哭]"
"82"	"安心的挖花生哟，挖一下看一下，为了什么啦[愉快][愉"
"83"	"贱股一只"
"84"	"京东方存在的问题"
"85"	"我不是说了吗？今天上5块，所有股票我吃了，你们还不"
"86"	"抢筹了[大笑][大笑][大笑][大笑][偷笑][偷笑][偷笑]["
"87"	"再砸点[大笑][大笑][大笑][大笑][呲牙][呲牙][呲牙]["
"88"	"持有近10天，发现这股不是看啦生赚钱的，特么是靠做T"
"89"	"当个人吧看看tcl"
"90"	"昨天涨九分，今天跌1毛玩的漂亮"
"91"	"有人总嫌京东方股价低，觉得太委屈！整天骂骂咧咧！我"
"92"	"京东方20年没有上涨过现在的京东方就是当初的三星不管"
"93"	"拿十年，挑战一下自己，只买不卖"
"94"	"昨天刚长点又回去了"
"95"	"显示屏不赚钱"
"96"	"被做空"
"97"	"资金流出四个亿昨天菜小幅度流入几千万看来主力不想拉"
"98"	"太懒了"
"99"	" 《钓牛熊》股海过往十几载，浮云相伴影相随，多空进退"
"100"	"还不如卖猪的股票"
"101"	"还不如卖猪的股票"
"102"	"金东方真的垃圾"
"103"	"看不懂是什么走势"
"104"	"昨天没涨多少今天全部会吐了"
"105"	"000725，尾市准备卖！"
"106"	" 扎啤：今晚""韭菜根""不喝茅台了~改喝扎啤啦[献花][胜利"
"107"	" 质疑(老生常谈)：请永远无需质A股个股(包括京东方A)的"
"108"	"今天逆世上涨的股票是好股"
"109"	"科技股集体熄火"
"110"	"丢人现眼"
"111"	" 《股市知了》众鸟常鸣议进退蝉鸣躁语论价值，入市牢记"
"112"	"废物"
"113"	"看看tcl再看看你我都觉得恶心"
"114"	"怂逼！"
"115"	"大家都卖了吧。这股票盘子太大没救啦。业绩还完蛋，早"
"116"	"今日洗盘收盘价在4.62左右"
"117"	"A股最大散户股票，根本没庄，小散们瞎折腾"
"118"	"***"
"119"	"走人"
"120"	"TM，庄该S！"
"121"	"没有事，大家合力每天买100手，把它抬上去吧"
"122"	" 曾经和大家一样靠情怀坚守着京东方A，合适的时候我一"
"123"	"被套了一个多月，这什么股"
"124"	"温水煮青蛙，触底了"
"125"	"神奇的2.30"
"126"	"使点劲砸，把自己砸出血[大笑][大笑][大笑][大笑][偷"
"127"	"还不如那个士兰微"
"128"	"2020第二季度全球智能手机市场 华为首次超越三星夺冠"
"129"	"就是垃圾"
"130"	"如果恨一个人的最好办法让他买进京东方的股票，这是最"
"131"	"4.5挂单等"
"132"	"央视二胎正在宣传京东方显示器。。"
"133"	"恐怖，散户持有高于证券[滴汗]"
"134"	"可以再买点了"
"135"	"l假的吧"
"136"	"涨不动，跌的狠，还好早盘4.70跑掉了，尾盘竞价搞回来"
"137"	"5元以上买盘汹涌，4元以下卖盘涌出"
"138"	"咋么还不下来！真急人[傲][鼓掌]"
"139"	"废物，起来！"
"140"	"昨天深成指涨3个点今天没怎么跌   我们这些小散抱团的"
"141"	"4.85，何时回本[怒][怒]"
"142"	"这一票不用去管它短期做不了做长期啊等它啊散户真是被"
"143"	"砸盘永不缺席"
"144"	"今天就这样了！来回摩擦"
"145"	"面板的风还没吹过来   大涨这事就别意了   能T就TT吧"
"146"	"谁能给我解释解释这股票怎么这么邪门"
"147"	"压盘，使劲压"
"148"	"还不如林洋能源"
"149"	"下跌放量上涨无量垃圾东西"
"150"	" 散户的福音到来了！立刻全仓买入！京东方收盘公布重大"
"151"	"目前来看，貌似没什么动静，短时间感觉也起不来，换去"
"152"	"我下载软件炒股第一天，买的就是京东方a，5.01买的。"
"153"	"已出，祝留下的发财"
"154"	"回本我以后不碰这垃圾，还什么国之重器，就一国之"
"155"	" 居然一口吃掉这个强支撑的货，厉害"
"156"	"尾盘会红的"
"157"	"尾盘拉上去明天接着砸。在中国股市做庄真好！"
"158"	"七月拿这个股简直浪费时间"
"159"	"大盘跌的时候，你如洪水猛兽。大盘涨的时候，你连蜗牛"
"160"	" 重磅消息，明天涨停！！"
"161"	"Canalys：华为二季度智能手机出货量5580万台，首超三"
"162"	"京东方A：散户之王，国之重器，低估了吗？"
"163"	"600010"
"164"	"京东方中报亏损 -0.03元/股；股价下月下4元。"
"165"	"柔性屏，弟兄们，搞起来"
"166"	"垃圾股"
"167"	"昨天咋长得今天咋跌回去"
"168"	"今天能不能破5[大笑][大笑][大笑][大笑][大笑][呲牙]["
"169"	"回本就这么难么"
"170"	"下方4.60强力支撑，证明主力成本在那里，应该不用担心"
"171"	"这股不要买"
"172"	"天天不快乐"
"173"	"总是感觉有些媒体恶搞京东方，又是没有苹果供应链了，"
"174"	"三块钱等你[鼓掌]"
"175"	"跌一个月垃圾东西"
"176"	"这么大的盘子，是谁在护盘？"
"177"	"割了"
"178"	"大点干，北上资金加仓，怕个。"
"179"	"这是怎么啦[哭]"
"180"	"垃圾股"
"181"	"买京东方就没赚过，亏了好几万"
"182"	"还会跌，回落3.6元"
"183"	"垃圾股"
"184"	"各位小韭菜听好了，4.3准备好补仓的钱。"
"185"	"昨天涨的都吐出来"
"186"	"再次会去踩4.42（京东方），或者还下点（4.39）。4.40"
"187"	"这果然是散户之王，专业套散户之王，垃圾概念之王，祝"
"188"	"昨天怎么涨的今天你就怎么给我跌回去！"
"189"	"前进的道路上总是充满了各种未知和挑战！但我们深知前"
"190"	"就这样吧  等台风来了再加仓吧"
"191"	"下午必反弹高啦"
"192"	"真垃圾"
"193"	"5.30的均值一手怎么办"
"194"	"跌倒3.6一以下合理"
"195"	"京东方A中国品牌的象征，中国芯的脊梁！不上百元何以"
"196"	"砸下来吧"
"197"	"指数下跌妥妥的跑前面"
"198"	"4.60低调买入"
"199"	"涨起来像蜗牛，跌起来像孙猴！"
"200"	"一个星期就给你拉一次，就够你受的了"
"201"	"二季度华为全球智能手机市场首超三星"
"202"	"再涨两个点，我就解套了，赶紧走"
"203"	"价值投资京东方，拿在手中不心慌！"
"204"	"[好困惑]4.71梭哈了……立刻翻绿。"
"205"	"还不如ST加加么业绩好转"
"206"	"还要降，4.5？"
"207"	"士兰微疯了两个涨停"
"208"	"今天会到五块吗？"
"209"	"加仓正当时！"
"210"	"2月份高点都过不去的垃圾"
"211"	"相对强势，可买"
"212"	"东方，你敢跌过4.30吗"
"213"	"每次都让我们韭菜抄底，特么你倒是有个底啊"
"214"	"为什么天天这么跌，"
"215"	"大市升它就跌，几分玩一天"
"216"	"庄家前两天买了5个亿，怕球"
"217"	"三重底！"
"218"	"4.52入一点京北方[大笑][大笑][大笑]"
"219"	"稍稍试探大家就忍不住"
"220"	"明天暴跌，该割肉就割肉[围观][围观][围观][围观]"
"221"	"收盘4.58"
"222"	"不知为何，早上4.71就卖了"
"223"	"大市升它就跌，几分玩一天"
"224"	"完犊子了"
"225"	"什么垃圾走势这么弱"
"226"	"回马枪"
"227"	"15000走了[滴汗]再不走连毛都没"
"228"	"都别挂单了，上去吧"
"229"	"别人一天几个点，这个垃圾天天在勇力想变红的路上，可"
"230"	"版[呲牙][呲牙][呲牙]低买高卖，永远记住这个道理，"
"231"	"下午还会继续的，管住自己手，别乱买，卖是你最好的选"
"232"	"恶心"
"233"	"来两个跌停，我就继续补"
"234"	"大盘要啦了"
"235"	"小散和大资金抢筹[大笑][大笑][大笑][大笑][大笑][偷"
"236"	"[好困惑]4.71梭哈了……立刻翻绿。"
"237"	"这个不成器的股票，涨起来就卖，不玩了"
"238"	"版[呲牙][呲牙][呲牙]低买高卖，永远记住这个道理，"
"239"	"有5.2俱乐部吗？？？"
"240"	" 小儿科，这点点资金，只能给盯盘的醒醒觉，一点水花都"
"241"	"A股国产芯片龙头股，净利润过亿！即将暴涨（附股）"
"242"	"钱都被卷走了，都在做T，很难上涨啊，看空了都"
"243"	"真的垃圾啊！"
"244"	"前两天割肉了，这两天在其他股把亏得赚回来了！！京东"
"245"	"丢人"
"246"	"抓紧买差不多了！"
"247"	"第一砸盘股"
"248"	"拉圾股，永远是垃，大盘红你绿。"
"249"	"上6元行情开启"
"250"	"砸盘带头大哥[大笑][大笑][大笑][大笑][大笑][得意]["
"251"	"又是几分钱玩一天。。。"
"252"	"京东方的玻璃一直在苹果电脑的加工厂试投，一直pass不"
"253"	"你落后大盘那么多，还有救吗，滚回去4元以下"
"254"	"，涨不过大盘，跌起来反而快，艹[怒][怒][怒][怒][怒]"
"255"	"拉升"
"256"	"欢迎入套"
"257"	"5块钱，凉飕飕。需要一个涨停才能解决的事。"
"258"	"每天过来骂下你"
"259"	"果然是垃圾"
"260"	"今天又是什么情况？"
"261"	"大家都看懂了，他要涨，说明今天跌的可能性比较大，而"
"262"	" 牛~不喜，熊~不慌，涨~不喜，跌~不忙，开开心心~玩股"
"263"	"一分一分的玩有意思吗"
"264"	"积极参与相关领域国际标准制定是一个公司真正国际化的"
"265"	" 目标(目的)：股市投资""韭菜根""的唯一目标(目的)就是~"
"266"	"酒店"
"267"	"无惧横盘"
"268"	"这是个草包高科技水龙头！"
"269"	"费劲"
"270"	" 耐心才能吃大肉[微笑]"
"271"	"在4.5静静的等着"
"272"	"丢人"
"273"	"这股是我待的股吧当中散户最会意的，明明就是一只横盘"
"274"	"日跌"
"275"	"[呲牙][呲牙][呲牙]低买高卖，永远记住这个道理，"
"276"	"此股有人赚钱吗？"
"277"	"4，61日线强支撑"
"278"	"垃圾货，涨几天还不够你一天跌的，早日退市吧"
"279"	"6元成本的有吗。让我看到你们的双手"
"280"	"ZTM的垃圾。"
"281"	"永远都是垃圾货"
"282"	"跟大盘一个颜色，还能做好朋友"
"283"	"受TCl拖累，可能还有低点"
"284"	"完蛋了，我看到下面有托单就害怕，完了"
"285"	"华为陈黎芳：共担责任，共建更具包容性的美好未来"
"286"	"涨不赢大盘，跌超大盘。"
"287"	"磨呀磨，拿你真需要耐心[兴奋]"
"288"	"永远都是垃圾"
"289"	"这么多人看好是为了出货呀"
"290"	"大家时刻准备好子弹捡筹码了[大笑]"
"291"	"时间都浪费在这个身上了"
"292"	"在不上去我打算割肉了"
"293"	"早盘减仓现在看来没错啊   垃圾依然是垃圾"
"294"	"昨天涨9分今天跌2毛牛逼"
"295"	"华为陈黎芳：“未来种子”项目使得全球30000余名学生"
"296"	"人家跌他涨不正常啊   呵呵"
"297"	"强势的股是真强势，弱鸡是真弱，京东方是真弱，失望了"
"298"	"买的其它都红就你是绿[鼓掌]"
"299"	" [爱心][爱心][爱心][爱心]ST海创盈利摘帽[爱心][爱心]"
"300"	"快跑"
"301"	"谁都知道，你马上要跌停了，就不要演戏了"
"302"	"早上大跌可加仓，早上大涨要减仓；下午大涨只减仓，下"
"303"	"越是压盘越值得拥有，如果再砸盘，相当于给散户捡筹码"
"304"	"洗盘，尾盘偷袭"
"305"	"涨没有你下跌第一"
"306"	"股灾"
"307"	"整天跟你爷走，可否走自己路，东方不败"
"308"	"今天没戏了"
"309"	"4.47入的涨到5就出"
"310"	"再下来点，好加仓"
"311"	"强强强"
"312"	"股票不能弯道超车吗？"
"313"	"今天行情很稳"
"314"	"和主力抢[大笑][大笑][大笑][大笑][大笑][得意][得意]"
"315"	"有一次我和某部高新技术处处长谈京东方。他说，民族产"
"316"	"又在这里画心电图"
"317"	" 2020-7-29京东方A 沪深股通机构持股及增减数量"
"318"	"这个原来有11家基金，现在还有6家，这个股票都是散户"
"319"	"京东方的庄家属狗的，喜欢上窜下跳"
"320"	"一句话，富贵逼人"
"321"	"京东一两天上4.8没问题呀，公司不错，可以看到8块呀"
"322"	"牛市又来了，这次你是信还是不信"
"323"	"京东方A雄风，把TCL踩回原形。"
"324"	"没用了，看下周l"
"325"	" 旅游股海南板块活了。。。"
"326"	"再论华为不上市：贪婪和恐惧，任正非“称霸世界”"
"327"	"今天一定涨"
"328"	"中国芯震世界"
"329"	"我们的目的要达到！我们的目的一定能够达到！"
"330"	"这个星期能上5块，股票我都吃了。"
"331"	"基金在出货，原来11家，现在就有6家了"
"332"	"机构昨天扫货扫了很多，今天看好京东方"
"333"	"专访粤芯半导体副总裁李海明：大湾区和国内市场是我们"
"334"	"大盘走的比预期强，但已经到了结构上沿，向上空间不大"
"335"	"本股东今天回购1万股！算不算利好？"
"336"	"资讯 京东方A(000725)融资融券信息(07-29)"
"337"	"国外股市大涨～"
"338"	"今天乘风破浪，明天继续远航！加油吧，京东方……"
"339"	"2001上市有20年了股票还在5远是退不了还是进步了"
"340"	"@a岁月静好 你们最近天天加班？"
"341"	"今天乘风破浪，明天继续远航！"
"342"	"陪伴我成年到现在19岁的股票，19岁生日快乐[大笑]"
"343"	" 境界：股市投资的最高境界~就是把所有""技术面~基本面~"
"344"	"耐心持有"
"345"	"资讯 京东方Ａ：融资净买入3397.17万元，融资余额82.48亿元"
"346"	" 财通证券——蚂蚁金服+14.76元阻力位"
"347"	"4.792还有救不[旺柴][旺柴][旺柴]"
"348"	" 《股海平心》牛熊过往十几载，踩得多空度春秋，浮云相"
"349"	"5.08买的，有救吗"
"350"	" 利好周一又跌吗？"
"351"	"明天要跌，因为我今天重仓了，对不起了各位。"
"352"	"成本还有5元的人？"
"353"	" 浪费行情。浪费时间。"
"354"	"今天加仓加仓，开盘瞬间涨停，超级大利好。。。"
"355"	"京东方崛起之日就是牛市结束之时"
"356"	"有没有5块3以上买进的，快说出来，让我也开心开心"
"357"	"明天5块你信不信"
"358"	" 有图有真相。京东方5.15.30.60分钟级别全已底部背离，"
"359"	" 强烈建议(老生常谈)：[献花]强烈建议~老生常谈[献花]"
"360"	"注意知名度好的公募基金没有参与看来不会大涨"
"361"	"这股要么暴跌要么突破才能玩不然一年多数时间都是横盘"
"362"	"社保基金没有加入说明还不稳定"
"363"	"再次发力，冲击六块"
"364"	"苹果概念这么不堪一击么"
"365"	"MINILED华为苹果概念值钱"
"366"	" 京东方是垃圾股"
"367"	"上证2646点的上升浪型是非常清晰的，1浪:(31浪)是前长"
"368"	" 来到京东方第三天！打下卡！不到5.5不清仓！不做T！随"
"369"	"其实京东方最适合zuoT"
"370"	"小散大本营"
"371"	"昨天科技股都涨了，京东方是不是睡着了，今天能补张吗"
"372"	"方向不对，差别很大，京北方股价六十多[滴汗][滴汗]"
"373"	"换了董事长还不行吗管理有问题营收净利不成正比"
"374"	"赶紧的，明天梭哈了，"
"375"	"今天大盤漲的那麼厲害，怎麼金東方就漲一點點呢？"
"376"	"盘子太大，拉不动。"
"377"	"什么时候多了三四个板块，国产芯片涨了四个多点不怎么"
"378"	"我5.15"
"379"	"中国芯震世界"
"380"	"守着快两个月了，突然感觉自己错了，不挣钱啊！"
"381"	"明天还给上车机会吗200手抄底"
"382"	"京东方不是不涨是不敢涨"
"383"	"牛一回来，市场里马上就热闹了！养牛的，牵牛的，骑牛"
"384"	"请教，问财上是基金持股家数准不准？"
"385"	" 挂涨停买的，疯了吧[大笑]"
"386"	"能重回三元时代吗？我一定回来买"
"387"	"大家要知道牛市乱来远比牛市不来更可怕，事以愿违，月"
"388"	"主要是业绩提不起来"
"389"	"一样的配方，不一样的套路套路千万条路路都上当"
"390"	"牛又回头了！值得庆贺一下！就在同志们被两根缩量十字"
"391"	" 价值投资真谛：个人价值投资真谛~就是无论牛熊(无论涨"
"392"	"我也看涨不过不会超过2毛！"
"393"	"噶会发展成10倍股呢[赞][赞]"
"394"	"明天大涨，不要问我为什么，今天刚加仓2000股[大笑]"
"395"	" 《今朝有酒今朝醉》今朝有酒今朝醉，管他明日多与空，"
"396"	"这个到底是什么鬼，搞来搞去就是几块钱"
"397"	"图型上是下跌途中，目前还不是底部，但科技股股价看属"
"398"	"快来捡呀！一样的套路，一样的韭菜，满仓干。"
"399"	" 《知了~知了~知了》林中众鸟议牛熊，蝉鸣躁语化多空，"
"400"	"本人昨天已经调仓换股："
"401"	"居然不如TCL"
"402"	"108只票里，仓位最重一只，一横有点不会了"
"403"	" 王中之王(老生常谈)：A股~世界散户之王[俏皮][俏皮]["
"404"	"看看北方华创的价格快到200了"
"405"	"跌不含糊，涨不干脆！"
"406"	"北京的股票怎么这么烂还有一个东旭光电"
"407"	"我对京东方好失望"
"408"	"散户太多了，A股之最没有之一！"
"409"	"成本有负数的吗？我的成本为负数"
"410"	"5.37买入的，捂了好多年了"
"411"	"明天大涨吧"
"412"	"金叉"
"413"	" 京东方不创新高就一直待在京东方不走了[微笑][微笑]["
"414"	"割肉走了！"
"415"	"垃圾般大盘都大涨这个垃圾才涨一点点"
"416"	"完犊子了"
"417"	" 晚间闲聊(老生常谈)：请问您认为大盘从2400多点涨到34"
"418"	"求生欲爆棚！三星Display量产QD-OLED面板计划2021年开"
"419"	"[困顿]从开盘到收盘涨一毛多玩了一天"
"420"	"尴尬啊，那一个板块为没跟上啊"
"421"	"小幅度净流入控盘能力很强"
"422"	" 第一目标3700第二目标4100"
"423"	"资金还是流出的，邪了门了"
"424"	"牛市结速？"
"425"	"真心告白："
"426"	"不出所料，上证指数大盘正朝着我帖文所分析的方向前进"
"427"	"大盘反弹回高点，京东方肯定回不去，下去了没个一年上"
"428"	" 我有微博，没有头条，你会不会看不起我$贵州茅台(SH60"
"429"	"我站在城楼观山景，持股价只有一块九……"
"430"	" 定律与真理：股市投资操作~无论牛熊(无论涨跌)永远都"
"431"	"《昨天涨了 今天跑输大盘很正常！明咱再发力上攻》4.9"
"432"	"科技股周期来临准备起飞"
"433"	"4.82的成本呢，还不够[呲牙]"
"434"	"举牌潮再现！"
"435"	"京东方号称面板销量全球第一，股价怎么就这Ｂ样。不应"
"436"	"牛皮不是吹的，火车不是推的！都已经进入人工智能时代"
"437"	"明天黑色星期四，小心，今早4.53进二千五，尾盘清三千"
"438"	"日线像头肩顶，周线像M，月线像个W，感觉要跌？我不知"
"439"	" 《知足常乐~能忍则安》知己古今惜股生，足踏多空共永"
"440"	"明年爆发等票子今年目标6元就行哎"
"441"	"5.8建仓的4.65的本套了解套又套又解套又套现在又解套"
"442"	"《北向太猛了 尾盘扫货10.5万手！浩浩荡荡 蔚为壮观》"
"443"	"我想给持有京东方各位说点什么"
"444"	"明天幽默星期四，是继续上涨，还是庄家抛售，我们拭目"
"445"	"大公司，大品牌的高科技公司股价才四块多，严重偏低，"
"446"	" 立帖求解：立帖求解~请问万能的股吧~有谁能给解释一下"
"447"	"厉害厉害，虽然没涨过大盘，起码涨过了4.66"
"448"	"150万散户每个人在现价挂一手卖出就是150万手，涨想都"
"449"	"大家怎么看今天收盘价收在全天最高价"
"450"	"来看同兴达连续涨停"
"451"	"士兰微业绩也是很烂但股票能涨停啊"
"452"	"涨不过大盘啊"
"453"	"京东方A适合理财者。建议投资者长期持股。"
"454"	"太垃圾了，拖累tcl"
"455"	"老牛吃嫩草"
"456"	"跌的比大盘快，涨的比大盘慢"
"457"	"华为入局，网联汽车将成下一代“智能手机”？"
"458"	" ""韭菜根""：谁是~""韭菜""[俏皮][俏皮][俏皮]您不是""韭菜"
"459"	"散户太多的票子不会涨停"
"460"	"W底"
"461"	"明天周四，看北上资金是否给了，给力就进"
"462"	" 5档就接近50万手，这是要把伞户们吓的滚流吗？[大笑]["
"463"	"没有主力愿意拉这只股盘子大散户拉不动"
"464"	"你这货不会是被大盘，或者你兄弟带起来的吧"
"465"	"今天4.68结束"
"466"	"上面几十万手压着不知道啥意思"
"467"	"老老实实买ETF吧跌少涨多"
"468"	"太让我失望了看来这家伙今年不会雄起"
"469"	"什么时候超过风华高科歌尔股份"
"470"	"还不如国星光电"
"471"	"[傲]啥时候能重回5元呢"
"472"	"吃了"
"473"	"明日高开高走"
"474"	"[傲]啥时候能重回5元呢"
"475"	"股友们！我这里选了4个相对看好的股，献上以报大家的"
"476"	"姐冲在最高点5.3，也没治了"
"477"	"涨6分牛逼"
"478"	"明天真的要卖了"
"479"	"4.9卖吧"
"480"	"4.65什么鬼"
"481"	"为什么我对星期四没信心呢，尾盘本来想买的，结果给卖"
"482"	"000725京东方竞价4.69元买入10万股！"
"483"	"明天继续"
"484"	"今天主拉TCL，京东方只是作陪"
"485"	"今天成交再次破万亿"
"486"	"能上4.67吗？"
"487"	"涨涨涨"
"488"	" 投资京东方A~又""赚到~捡到""钱啦[俏皮][俏皮][俏皮]今"
"489"	"涨得时候你是蜗牛，跌的时候你是兔子，不服谁就服你"
"490"	"涨的时候永远超不过大盘，跌的时候每次都要比大盘牛"
"491"	"卖一到六的单的太少了，再多挂点"
"492"	" 牛就牛在，一堆千手哥都让你的价格动弹不得"
"493"	"给管理层建议；为提振公司业绩，提高股东回报率，建议"
"494"	"468走起"
"495"	"尾盘火箭发射涨停"
"496"	" 出手，挣个饭钱"
"497"	"最后十分钟总是这么精彩"
"498"	"人家tcl拉一个点你啦一分钱去吧"
"499"	"像叭在地上的蛆，蠕动半天不动地方"
"500"	"可怜"
"501"	"亏了2.5个点割了，"
"502"	"这货真不行啊？"
"503"	"看着上方压单的阵势来看，今天有还没有大哥敢上了"
"504"	"压单干什么？"
"505"	"再来个涨停"
"506"	"不要脸主力"
"507"	"明天大泄8慌[偷笑]"
"508"	"今天又是一首凉凉了"
"509"	"还真的不如TCL？"
"510"	"京东方A：如此碎步鸟涨，浪费行情大势！"
"511"	" 今天不卖明天跑不掉了"
"512"	"可算回血了，我4.9进的，赔的稀里哗啦"
"513"	"这么大的卖盘压着不让涨，庄哥在搞什么"
"514"	"懵了，本来准备卖出，手一残成买入了[怒][怒][怒]"
"515"	"大盘你都跑不赢"
"516"	"唉，股市里赚点钱好难哦！"
"517"	"4.67动不了了？"
"518"	"不许装死，在这样墨迹不跟你好了[怒][怒]"
"519"	"成本4.66多的，很是纠结呀，就在解套的边缘，哎呀……"
"520"	" 卖盘这单子排的真整齐"
"521"	"大家支持国有科技公司，你确让大家寒心"
"522"	"看看深天马000050 都多少了？"
"523"	"东方不败"
"524"	"冲动是魔鬼冲啊"
"525"	"P股！"
"526"	"狗庄今天拿了筹码，明天就往下砸"
"527"	"不知道9月份手机发布了会不会拉升一下，5.13的本还留"
"528"	"织布技术真的强"
"529"	"【老司机】华为将HMS生态优先级提升至最高，目前已有2"
"530"	"大A净玩邪的，头一小时（上午）量不行，下午来劲，叒"
"531"	"空头今天还是牛逼，看来今天上不了4.7了。明天再收拾"
"532"	"600010"
"533"	" 中报预披露以来，业绩高增长的个股几乎都是科技主题细"
"534"	"今日涨停"
"535"	"终于抛了"
"536"	"跑输大盘"
"537"	"扶不起的阿斗"
"538"	"进来避难"
"539"	"敢不敢4.7啊[滴汗][滴汗][滴汗]"
"540"	"小a加油"
"541"	"以前你不是挺猛的吗？我一买就这怂样？"
"542"	"上面好多鸭蛋"
"543"	"快卖，留着过年吗，那么多大单压着，明天肯定大跌"
"544"	"我就是昨天那个发帖说买就跌卖就涨的，百次实验，今天"
"545"	"你这里散户也是不少了，你还要咋样？"
"546"	"看今天要洗多少人出去[想一下]"
"547"	"拉上去一路向北，打爆空头"
"548"	"刚从金健过来[呲牙]短线突击"
"549"	"没人要的货都一直抛"
"550"	"相比昨天，你今天就没动，我晕！"
